Date,Sales
2021-09-23,917094.03
2021-09-24,876831.46
2021-09-25,573974.33
2021-09-26,440425.61
2021-09-27,792300.51
2021-09-28,845781.20
2021-09-29,874570.07
2021-09-30,1026307.71
2021-10-01,836499.73
2021-10-02,578247.10
2021-10-03,403323.10
2021-10-04,399646.64
2021-10-05,938751.87
2021-10-06,903751.82
2021-10-07,943374.75
2021-10-08,928736.64
2021-10-09,582830.63
2021-10-10,452844.34
2021-10-11,848481.60
2021-10-12,905529.62
2021-10-13,876593.67
2021-10-14,992102.42
2021-10-15,902095.03
2021-10-16,585114.81
2021-10-17,452164.31
2021-10-18,889522.84
2021-10-19,860655.72
2021-10-20,911637.68
2021-10-21,918538.83
2021-10-22,880340.06
2021-10-23,552805.71
2021-10-24,425753.76
2021-10-25,858298.90
2021-10-26,832556.82
2021-10-27,865899.71
2021-10-28,1033483.05
2021-10-29,923051.73
2021-10-30,641213.47
2021-10-31,434091.63
2021-11-01,878227.28
2021-11-02,854035.30
2021-11-03,971745.82
2021-11-04,954541.76
2021-11-05,929377.45
2021-11-06,597853.42
2021-11-07,467625.18
2021-11-08,903719.89
2021-11-09,898142.72
2021-11-10,936701.85
2021-11-11,936614.47
2021-11-12,926275.78
2021-11-13,588108.47
2021-11-14,461525.52
2021-11-15,869958.65
2021-11-16,1037188.83
2021-11-17,1005307.27
2021-11-18,921758.50
2021-11-19,919326.90
2021-11-20,602994.28
2021-11-21,441723.54
2021-11-22,846161.03
2021-11-23,904156.07
2021-11-24,984421.60
2021-11-25,951954.28
2021-11-26,876663.07
2021-11-27,583774.64
2021-11-28,447666.05
2021-11-29,918306.65
2021-11-30,1026878.94
2021-12-01,925861.89
2021-12-02,1056319.34
2021-12-03,916462.30
2021-12-04,603735.31
2021-12-05,447639.57
2021-12-06,911984.02
2021-12-07,890094.47
2021-12-08,970592.81
2021-12-09,1095902.76
2021-12-10,1029500.87
2021-12-11,675533.96
2021-12-12,513326.01
2021-12-13,1009442.20
2021-12-14,1056707.94
2021-12-15,1119948.25
2021-12-16,1185343.95
2021-12-17,1163892.38
2021-12-18,784176.05
2021-12-19,669608.89
2021-12-20,1281866.92
2021-12-21,1369042.00
2021-12-22,1498723.03
2021-12-23,1662438.32
2021-12-24,1316314.54
2021-12-25,22449.20
2021-12-26,300492.44
2021-12-27,712178.04
2021-12-28,731644.52
